"['rl-4', 'radar']","['rl-4am', 'morad-l']"
"['prv-17', 'radar']",['prv-17']
"['pasívny', 'rádiolokátor', 'věra']",['vera-ng']
['s-300'],['s-300pmu']
Link,Alt_Text
['izrael'],
"['el', 'm-2084']","['el', 'm-2084', 'mmr']"
"['el', 'm-2084']","['el', 'm-2084', 'ms-mmr']"
"['el', 'm-2026']","['el', 'm-2026b']"
['radar'],['rádiolokátor']
"['p-37', 'radar']",['p-37']
"['súbor', 'p-37', 'in', 'technical', 'museum', 'togliatti', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
"['rl-4', 'radar']",['rl-4']
"['súbor', 'lkcv', 'radar', 'jpg']",['150px']
['česko-slovensko'],
"['prv-17', 'radar']",['prv-17']
"['súbor', 'prw17', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
"['pasívny', 'rádiolokátor', 'věra']",['věra']
Link,Alt_Text
['česko'],
"['súbor', 'svk-air', 'force-of-01a', 'svg']",['60px']
"['súbor', 'svk-air', 'force-of-01b', 'svg']",['60px']
"['súbor', 'svk-air', 'force-of-02', 'svg']",['60px']
"['súbor', 'svk-air', 'force-of-03', 'svg']",['60px']
"['súbor', 'svk-air', 'force-of-04', 'svg']",['60px']
"['súbor', 'svk-air', 'force-of-05', 'svg']",['60px']
['poručík'],
['nadporučík'],
"['kapitán', 'vojenský', 'a', 'policajný', 'hodnosť']",['kapitán']
['major'],
['podplukovník'],
['plukovník'],
"['plukovník', 'generálny', 'štáb']",['plukovník']
"['plukovník', 'generálny', 'štáb']","['generálny', 'štáb']"
Link,Alt_Text
"['súbor', 'svk-air', 'force-of-06', 'svg']",['60px']
"['súbor', 'svk-air', 'force-of-07', 'svg']",['60px']
"['súbor', 'svk-air', 'force-of-08', 'svg']",['60px']
"['súbor', 'svk-air', 'force-of-09', 'svg']",['60px']
"['brigádny', 'generál']",
['generálmajor'],
['generálporučík'],
['generál'],
"['letecký', 'nešťastie', 'slovenský', 'an-24']",
"['slovenský', 'vzdušný', 'zbraň']",
"['letecký', 'útvar', 'ministerstvo', 'vnútro', 'slovenský', 'republika']",
"['česko-slovenské', 'vojenský', 'letectvo']",
"['kombinovaný', 'letka', 'slovenský', 'povstalecký', 'letectvo']","['kombinovaný', 'letka']"
"['vzdušný', 'sila', 'armáda', 'český', 'republika']",
"['kategória', 'vzdušný', 'sila', 'slovenský', 'republika']",[]
Link,Alt_Text
"['kategória', 'vojenský', 'letectvo', 'štát']",['slovensko']
Link,Alt_Text
['slovensko'],"['slovenskej', 'republiky']"
"['slovenská', 'republika', '1939', '–', '1945']","['vojnového', 'slovenského', 'štátu']"
['slovensko'],
['generálmajor'],
"['ľubomír', 'svoboda']",
"['dopravné', 'krídlo', 'generála', 'milana', 'rastislava', 'štefánika', 'kuchyňa']","['dopravné', 'krídlo', 'generála', 'milana', 'rastislava', 'štefánika']"
"['taktické', 'krídlo', 'generálmajora', 'otta', 'smika', 'sliač']","['taktické', 'krídlo', 'generálmajora', 'otta', 'smika']"
"['vrtuľníkové', 'krídlo', 'generálplukovníka', 'jána', 'ambruša', 'prešov']","['vrtuľníkové', 'krídlo', 'generálplukovníka', 'jána', 'ambruša']"
"['protilietadlová', 'raketová', 'brigáda', 'nitra']","['protilietadlová', 'raketová', 'brigáda', 'obrancov', 'tobruku']"
"['brigáda', 'riadenia', 'vzdušných', 'operácií', 'zvolen']","['brigáda', 'riadenia', 'vzdušných', 'operácií']"
"['súbor', 'official-emblem-of-ossr', 'png']",['22px']
"['ozbrojené', 'sily', 'slovenskej', 'republiky']",
"['súbor', 'coat', 'of', 'arms', 'of', 'slovakia', 'svg']",['75px']
"['súbor', 'roundel', 'of', 'slovakia', '–', 'low', 'visibility', 'svg']",['75px']
"['aero', 'l-39', 'albatros']",['l-39zam']
Link,Alt_Text
"['let', 'l-410', 'turbolet']",['l-410fg']
"['mikojan-gurevič', 'mig-29']","['mig-29as', 'ubs']"
"['aero', 'l-39', 'albatros']","['l-39cm', 'zam']"
"['alenia', 'c-27j', 'spartan']",['c-27j']
"['let', 'l-410', 'turbolet']","['l-410uvp-e14', '20']"
"['sikorsky', 'uh-60', 'black', 'hawk']",['uh-60m']
"['mil', 'mi-17']","['mi-17m', 'lpzs']"
"['ozbrojené', 'sily', 'slovenskej', 'republiky']","['ozbrojených', 'síl']"
['slovensko'],"['slovenskej', 'republiky']"
['generálmajor'],
"['ľubomír', 'svoboda']",
"['štefan', 'gombík']",
"['jozef', 'dunaj']",
"['juraj', 'baránek']",
"['martin', 'babiak']",
Link,Alt_Text
"['miroslav', 'korba']",
"['ľubomír', 'svoboda']",
['1989'],
"['česko-slovenská', 'armáda']","['česko-slovenskej', 'armády']"
"['7', 'máj']",
['1991'],
"['letisko', 'sliač']",['sliač']
"['30', 'november']","['30', 'novembra']"
['zvolen'],
['nitra'],['nitre']
['rožňava'],['rožňave']
['pezinok'],['pezinku']
['október'],['októbri']
['1992'],
"['česká', 'a', 'slovenská', 'federatívna', 'republika']",['čsfr']
Link,Alt_Text
['česko-slovensko'],['česko-slovenska']
"['1', 'november']","['1', 'novembra']"
['trenčín'],
"['1', 'január']",
['1993'],
['slovensko'],"['slovenskej', 'republiky']"
"['biele', 'albatrosy']",
"['royal', 'international', 'air', 'tattoo']",
"['raf', 'fairford']",['fairforde']
"['mikojan-gurevič', 'mig-29']",['mig-29a']
"['mikojan-gurevič', 'mig-29']",['mig-29ub']
"['mikojan-gurevič', 'mig-21']",['mig-21ma']
"['mikojan-gurevič', 'mig-21']",['mig-21mf']
"['mikojan-gurevič', 'mig-21']",['mig-21r']
